column_1,column_2,marker,what_is_greater_gold,what_is_greater_gold_reason
777,292,97a03368-dcbf-4ba1-8311-f872f1ac9ebe,,
986,367,a455e625-3eff-47f1-9d42-fcec6ef5291c,,
643,177,e5e84beb-8827-4a02-9a99-2ee482151647,,
983,866,c5423372-d036-4ca0-a19e-32ebb62d10b0,,
598,223,3fb8298d-9074-481f-97a3-94b463485a40,,
433,763,493abbdf-cbf0-4638-a121-769d05651ef3,,
245,520,78a55059-db7f-4480-9db5-dfaf2510bb0c,,
844,299,8abf4cde-75c2-489f-90b1-825c77933186,,
746,329,50e13ad4-4a37-4ff6-93b5-0dca3f719fa0,,
200,875,0c5864b3-7daa-42c9-9ede-135c72246def,,
777,292,97a03368-dcbf-4ba1-8311-f872f1ac9ebe,,
986,367,a455e625-3eff-47f1-9d42-fcec6ef5291c,,
643,177,e5e84beb-8827-4a02-9a99-2ee482151647,,
983,866,c5423372-d036-4ca0-a19e-32ebb62d10b0,,
598,223,3fb8298d-9074-481f-97a3-94b463485a40,,
777,292,97a03368-dcbf-4ba1-8311-f872f1ac9ebe,,
986,367,a455e625-3eff-47f1-9d42-fcec6ef5291c,,
643,177,e5e84beb-8827-4a02-9a99-2ee482151647,,
983,866,c5423372-d036-4ca0-a19e-32ebb62d10b0,,
