description,_golden,fav_number,link_color,name,profileimage,retweet_count,sidebar_color,text,tweet_coord,tweet_count,tweet_created,tweet_id,tweet_location,user_timezone,is_this_funny_or_not_gold,is_this_funny_or_not_gold_reason
SHE/HER,,93,E81C4F,lNMYJORDANS,https://pbs.twimg.com/profile_images/1131700571092717568/wdyXmXFh_normal.jpg,0,0,a gulp of coke lmao https://t.co/hohhQp29Kr,,103,2019-06-03 23:17:56 UTC,1135687089406849024,NOLA,,,
Heyo nigguhs *smile* follow for a follow back!! #imperfect #young #wild #coolkid #believer #swifter #smiler #directioner #Jelena #Dreamer,,421,00BEA3,MileySarah,https://pbs.twimg.com/profile_images/590438412022370304/VhsgqKwv_normal.jpg,0,FF9800,"I shall go bite on a big chicken leg and wash it down with some diet coke and ignore all yall dumb asses tryna get attention. .

#PeaceOutt",,2499,2019-06-03 23:17:17 UTC,1135686923853410304,georgetown guyana,,,
"Manager of Information Technology for Medical Management Plus, LLC",,25895,1DA1F2,jfmoody56,https://pbs.twimg.com/profile_images/729855549643362304/QHhl1kce_normal.jpg,0,C0DEED,Switch to 100% stevia instead of aspartame for diet drinks.  Splenda Diet Coke is my current favorite but not avail… https://t.co/QnxEzVp0EV,,19227,2019-06-03 23:17:00 UTC,1135686851153543168,"Hoover, Alabama, USA",,,
SPREAD LOVE RECORDS|🇧🇸,,28151,19CF86,drezfleu,https://pbs.twimg.com/profile_images/1053666804734803968/L101zLbf_normal.jpg,0,0,@jodibridge “If hov did you can too” like nah bro I cannot go back to the 80s sell coke start a label and release m… https://t.co/LsiOCZd594,,7236,2019-06-03 23:16:28 UTC,1135686719662108672,,,,
dope pictures from a dope generation 🕶️,,1,1DA1F2,oldschoolcool_,https://pbs.twimg.com/profile_images/942140008714121216/klR7k8U7_normal.jpg,0,C0DEED,"Teenager drinking Coke, eating Cheez-Its and reading in bed (1940s) via /r/OldSchoolCool https://t.co/7jui6BMjpZ",,10628,2019-06-03 23:16:27 UTC,1135686716432498688,,,,
"Late in the game mom, just trying to figure it out without losing all my hair or my mind",,3784,1DA1F2,justanoldmom,https://pbs.twimg.com/profile_images/934837198452609024/V7KZfDae_normal.jpg,0,C0DEED,"Oh god, this is how it ends. Slowly choking to death on a piece of fried chicken skin, chugging coke to stop coughi… https://t.co/PB2Kc2bj0p",,946,2019-06-03 23:16:27 UTC,1135686715190984704,,,,
King Eniwealth,,4570,FAB81E,aarinola_eniola,https://pbs.twimg.com/profile_images/1135202373914234881/xiAIM7nE_normal.jpg,0,0,"@Aim_Tha_Machine @No_manaz @thepreco9dayz Let me tell this today, as bitter as shwepes (Bitter Lemon) is the quanti… https://t.co/5wcy3F9AWX",,5038,2019-06-03 23:16:12 UTC,1135686652557430784,"Lagos, Nigeria",,,
Ad Age is a daily must-read for an influential audience of decision makers and disruptors across the marketing and media landscape. https://t.co/gGStxZxw1m,,2350,0099FF,adage,https://pbs.twimg.com/profile_images/912682094308012032/9QkafiSn_normal.jpg,0,FFFFFF,These Coke billboards point you to the nearest recycling bin https://t.co/V71E8abvg0 https://t.co/69DmTDiOCa,,119705,2019-06-03 23:16:06 UTC,1135686624904454144,"New York, NY",,,
"Silver Creek Elementary Principal, Wife, Champion for Kids, Runner, Hobby Farmer & Equine Enthusiast!",,4531,1DA1F2,MrsAmandaHeaton,https://pbs.twimg.com/profile_images/1119347785336332288/gyzQmr21_normal.jpg,0,C0DEED,@BallingerCarrie Listen... regular @McDonalds Coke is life!,,1211,2019-06-03 23:15:28 UTC,1135686468649836544,"Waco, KY",,,
"Pan Africanist,so passionate about farming.A Taurus🐂",,6809,1DA1F2,Imhotepk1,https://pbs.twimg.com/profile_images/1109389329548357634/kXG0Jlfp_normal.jpg,0,C0DEED,"@GuiVanVeen @mphikzo How is this nonsense got to do with Jamal Sia,an individual I referred you to in those Qoura a… https://t.co/h6nkfvncfO",,2836,2019-06-03 23:15:23 UTC,1135686446197747714,,,,
Owner of Playhouse productions/Indyshowcase & radio host. https://t.co/o9LZq6KgCL @TalkingWalkers @TalkingHell @marsvenusshow,,785,ABB8C2,KinteF,https://pbs.twimg.com/profile_images/1095958633198739457/SVGNRbLI_normal.jpg,0,FFFFFF,RUM AND COKE POPSICLES - Boozy Popsicles For Adults https://t.co/RydxyCLXye,,9758,2019-06-03 23:14:59 UTC,1135686344045236224,Los Angeles,,,
"northern ireland! Love techno, hardstyle and bit ot trance ! #GoHardOrGoHome !!!",,2002,1DA1F2,johnty84,https://pbs.twimg.com/profile_images/2757057052/8e17226e7f8820d59917bbd7ab04ae87_normal.jpeg,0,C0DEED,Is there anything sniffing coke alone ???,,15581,2019-06-03 23:14:56 UTC,1135686334750887936,Belfast,,,
motherTrUcker,,1584,1DA1F2,midnightcv,https://pbs.twimg.com/profile_images/1134244348328128514/Kz9NTqIF_normal.jpg,0,C0DEED,@BrennenTaylor yeah lemme get a big mac with a large fry and a large coke thank you sksk,,2360,2019-06-03 23:14:46 UTC,1135686289976713216,,,,
,,47,1DA1F2,melzisak_,https://pbs.twimg.com/profile_images/1119580135903068160/cFX4lTAJ_normal.jpg,0,C0DEED,Do vegans do coke,,60,2019-06-03 23:14:24 UTC,1135686199845240832,,,,
not for glory but for love 🌱// h ‘23,,37157,E81C4F,aynico_,https://pbs.twimg.com/profile_images/1129932875456028672/aza8suLG_normal.jpg,0,0,coke is bad,,27182,2019-06-03 23:14:20 UTC,1135686180094337025,BGA//DFW//BOS,,,
