text_id,text,colors,anno1array,anno2array
6029527,Order me california pizza kitchen near Fountain Valley!,,,
6029404,Order me food near Irvine$,,,
6029136,Book a flight for one person from Evansville Indiana to New York City on October 15th^,,,
3010138,What movies are out,,,
6024771,Get me a ride to 37 new lots,,,
6025489,Buy me woolite carpet and upholstery cleaner,,,
6025466,Buy me young mens pants casual,,,
4607263,Buy me Apple Watchb,,,
4607192,Find a flight to Los Angeles that leaves tomorrow,,,
6025507,which a,,,
4607044,Book a flight from Washington DC to liberty international Airport for one person one economy leaving August 19 returning,,,
5965485,Want to send a gift to my girlfriend,,,
5990291,Order a large cheese pizza from pies guys,,,
6024455,Driving directions to burton park,,,
5994923,PlayStation plus,,,
5994868,Show me a list of restaurants,,,
5962842,Get an Airbnb in Los Angeles for one week October 1,,,
3488600,Order me ice cream near home for pickup,,,
6019889,Order dishwasher pods,,,
6066055,Buy elderberry gummies from amazon,,,
6066218,Order me sushi from oak to 2305 giddens dr,,,
6046458,Train from,,,
6038426,Find me a hotel nearby for one adult for tonight,,,
6084709,Uber to blue bottle palo alto,,,
4590241,Dealer's Best Price,,,
