HitApp Name,HitApp ID,JG Name,JG ID,Alias,Judge ID,Judgment Total,Judging Hours,Judgments / Hour,RTA Total,RTA Accuracy,RTA OffBy Accuracy,RTA Correct,Spam Total,Spam Accuracy,Spam OffBy Accuracy,Spam Correct,Review Total,Review Accuracy,Review Correct,Pairwise Agreement,# Overlap Pairs,Vendor ID,Total Earnings,Work Date
MMQueryLabelingMovie-frFR,38803,Multimedia Video Intent FR-XX - ABH,4504,nz.rahmani,451841,342,"2,234.53424",65.82374633,0,0,,0,0,0,,0,0,,0,0.98265896,346,1,0,2020-11-01T00:00
MMQueryLabelingTVShow-enIN,38806,Multimedia Video Intent EN-IN - Appen,20551,aparna.tripathi,187562,377,1.749834444,215.4489536,0,0,,0,0,0,,0,0,,0,0.95045045,222,1,0,2020-11-01T00:00
MMQueryLabelingTVShow-enIN,38806,Multimedia Video Intent EN-IN - Appen,20551,l.kapildev86,451149,136,1.375744722,98.85554915,0,0,,0,0,0,,0,0,,0,0.937931034,145,1,0,2020-11-01T00:00
MMQueryLabelingTVShow-enIN,38806,Multimedia Video Intent EN-IN - Appen,20551,VP19932019,503528,131,1.374959722,95.27551817,0,0,,0,0,0,,0,0,,0,0.935714286,140,1,0,2020-11-01T00:00
MMQueryLabelingTVShow-frFR,38809,Multimedia Video Intent FR-XX - ABH,4504,hsappen,190958,63,0.617222222,102.070207,0,0,,0,0,0,,0,0,,0,0.705882353,85,1,0,2020-11-01T00:00
MMQueryLabelingTVShow-frFR,38809,Multimedia Video Intent FR-XX - ABH,4504,nz.rahmani,451841,46,0.604882778,76.04779255,0,0,,0,0,0,,0,0,,0,0.836363636,55,1,0,2020-11-01T00:00
MMQueryLabelingGame-enIN,38813,Multimedia Video Intent EN-IN - Appen,20551,aparna.tripathi,187562,6,0.06242,96.12303749,0,0,,0,0,0,,0,0,,0,0.416666667,12,1,0,2020-11-01T00:00
MMQueryLabelingGame-enIN,38813,Multimedia Video Intent EN-IN - Appen,20551,l.kapildev86,451149,381,3.439316667,110.7778192,0,0,,0,0,0,,0,0,,0,0.976744186,387,1,0,2020-11-01T00:00
MMQueryLabelingGame-enIN,38813,Multimedia Video Intent EN-IN - Appen,20551,VP19932019,503528,382,3.414775556,111.8667959,0,0,,0,0,0,,0,0,,0,0.974160207,387,1,0,2020-11-01T00:00
MMQueryLabelingGame-frFR,38816,Multimedia Video Intent FR-XX - ABH,4504,hsappen,190958,120,1.750973056,68.53332187,0,0,,0,0,0,,0,0,,0,0.844444444,135,1,0,2020-11-01T00:00
MMQueryLabelingGame-frFR,38816,Multimedia Video Intent FR-XX - ABH,4504,valentina_atanassova,252478,364,2.292554444,158.7748552,0,0,,0,0,0,,0,0,,0,,,1,0,2020-11-01T00:00
MMQueryLabelingGame-frFR,38816,Multimedia Video Intent FR-XX - ABH,4504,brittany.usher,364294,160,0.495130556,323.1470936,0,0,,0,0,0,,0,0,,0,0.862068966,174,1,0,2020-11-01T00:00
MMQueryLabelingGame-frFR,38816,Multimedia Video Intent FR-XX - ABH,4504,nz.rahmani,451841,101,1.676676389,60.23821929,0,0,,0,0,0,,0,0,,0,0.91588785,107,1,0,2020-11-01T00:00
MMQueryLabelingVideoGeneric-enGB,38820,Multimedia Video Intent EN-GB - Appen,10511,philipjamesrowley,280758,72,0.2928325,245.874348,0,0,,0,0,0,,0,0,,0,0.890625,64,1,0,2020-11-01T00:00
MMQueryLabelingVideoGeneric-enGB,38820,Multimedia Video Intent EN-GB - Appen,10511,jamesdaviesworks,465204,170,1.294591667,131.3155371,0,0,,0,0,0,,0,0,,0,0.796610169,118,1,0,2020-11-01T00:00
Youtube Channel Validation,39217,Multimedia Channel Authority YouTube EN-US - Appen,21283,bluceleste87,185493,16,0.9973325,16.04279415,0,0,,0,0,0,,0,0,,0,,,1,0,2020-11-01T00:00
Youtube Channel Validation,39217,Multimedia Channel Authority YouTube EN-US - Appen,21283,cisjay,446383,89,12.64841889,7.036452602,0,0,,0,0,0,,0,2,0.5,1,,,1,0,2020-11-01T00:00
Youtube Channel Validation,39217,Multimedia Channel Authority YouTube EN-US - Appen,21283,Vesta_Flowers,515092,22,1.306149722,16.84339829,0,0,,0,0,0,,0,0,,0,,,1,0,2020-11-01T00:00
Youtube Channel Validation,39217,Multimedia Channel Authority YouTube EN-US - Appen,21283,bworkman708,518622,155,8.517220556,18.19842506,0,0,,0,0,0,,0,4,1,4,,,1,0,2020-11-01T00:00
